ZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher/innen,Olympiastadion,2016,201612,3787,5453,"18,2","-30,55",49489
Besucher/innen,Olympiastadion,2016,201611,3204,4865,"-96,7","-34,14",49628
Besucher/innen,Olympiastadion,2016,201610,97100,89647,"154,08","8,31",49767
Besucher/innen,Olympiastadion,2016,201609,38216,11292,"-34,33","238,43",49145
Besucher/innen,Olympiastadion,2016,201608,58198,28303,"-58,65","105,62",46902
Besucher/innen,Olympiastadion,2016,201607,140741,46494,"37,46","202,71",44411
Besucher/innen,Olympiastadion,2016,201606,102385,62906,"-18,08","62,76",36557
Besucher/innen,Olympiastadion,2016,201605,124984,285540,"1321,89","-56,23",33267
Besucher/innen,Olympiastadion,2016,201604,8790,15082,"-15,3","-41,72",46646
Besucher/innen,Olympiastadion,2016,201603,10378,7602,"231,25","36,52",47171
Besucher/innen,Olympiastadion,2016,201602,3133,3421,"6,02","-8,42",46939
Besucher/innen,Olympiastadion,2016,201601,2955,2549,"-45,81","15,93",46963
Besucher/innen,Olympiastadion,2015,201512,5453,4152,"12,09","31,33",46930
Besucher/innen,Olympiastadion,2015,201511,4865,5187,"-94,57","-6,21",46821
Besucher/innen,Olympiastadion,2015,201510,89647,41688,"693,9","115,04",46848
Besucher/innen,Olympiastadion,2015,201509,11292,9955,"-60,1","13,43",42851
Besucher/innen,Olympiastadion,2015,201508,28303,46112,"-39,13","-38,62",42740
Besucher/innen,Olympiastadion,2015,201507,46494,102780,"-26,09","-54,76",44224
Besucher/innen,Olympiastadion,2015,201506,62906,202103,"-77,97","-68,87",48915
Besucher/innen,Olympiastadion,2015,201505,285540,10893,"1793,25","2521,32",60514
Besucher/innen,Olympiastadion,2015,201504,15082,17222,"98,4","-12,43",37627
Besucher/innen,Olympiastadion,2015,201503,7602,6715,"122,22","13,21",37805
Besucher/innen,Olympiastadion,2015,201502,3421,3070,"34,21","11,43",37731
Besucher/innen,Olympiastadion,2015,201501,2549,3128,"-38,61","-18,51",37702
Besucher/innen,Olympiastadion,2014,201412,4152,6435,"-19,95","-35,48",37750
Besucher/innen,Olympiastadion,2014,201411,5187,3565,"-87,56","45,5",37941
Besucher/innen,Olympiastadion,2014,201410,41688,36417,"318,76","14,47",37806
Besucher/innen,Olympiastadion,2014,201409,9955,10130,"-78,41","-1,73",37366
Besucher/innen,Olympiastadion,2014,201408,46112,90099,"-55,14","-48,82",37381
Besucher/innen,Olympiastadion,2014,201407,102780,44677,"-49,14","130,05",41046
Besucher/innen,Olympiastadion,2014,201406,202103,78018,"1755,35","159,05",36205
Besucher/innen,Olympiastadion,2014,201405,10893,114067,"-36,75","-90,45",25864
Besucher/innen,Olympiastadion,2014,201404,17222,12634,"156,47","36,31",34462
Besucher/innen,Olympiastadion,2014,201403,6715,7965,"118,73","-15,69",34080
Besucher/innen,Olympiastadion,2014,201402,3070,1978,"-1,85","55,21",34184
Besucher/innen,Olympiastadion,2014,201401,3128,2902,"-51,39","7,79",34093
Besucher/innen,Olympiastadion,2013,201312,6435,5528,"80,5","16,41",34074
Besucher/innen,Olympiastadion,2013,201311,3565,5131,"-90,21","-30,52",33998
Besucher/innen,Olympiastadion,2013,201310,36417,30897,"259,5","17,87",34129
Besucher/innen,Olympiastadion,2013,201309,10130,89570,"-88,76","-88,69",33669
Besucher/innen,Olympiastadion,2013,201308,90099,41263,"101,67","118,35",40289
Besucher/innen,Olympiastadion,2013,201307,44677,135182,"-42,74","-66,95",36219
Besucher/innen,Olympiastadion,2013,201306,78018,89469,"-31,6","-12,8",43761
Besucher/innen,Olympiastadion,2013,201305,114067,141510,"802,86","-19,39",44716
Besucher/innen,Olympiastadion,2013,201304,12634,12730,"58,62","-0,75",47002
Besucher/innen,Olympiastadion,2013,201303,7965,4544,"302,68","75,29",47010
Besucher/innen,Olympiastadion,2013,201302,1978,1993,"-31,84","-0,75",46725
Besucher/innen,Olympiastadion,2013,201301,2902,3659,"-47,5","-20,69",46727
Besucher/innen,Olympiastadion,2012,201212,5528,6866,"7,74","-19,49",46790
Besucher/innen,Olympiastadion,2012,201211,5131,6254,"-83,39","-17,96",46901
Besucher/innen,Olympiastadion,2012,201210,30897,61953,"-65,51","-50,13",46995
Besucher/innen,Olympiastadion,2012,201209,89570,11042,"117,07","711,18",49583
Besucher/innen,Olympiastadion,2012,201208,41263,49702,"-69,48","-16,98",43039
Besucher/innen,Olympiastadion,2012,201207,135182,232470,"51,09","-41,85",43742
Besucher/innen,Olympiastadion,2012,201206,89469,122733,"-36,78","-27,1",51849
Besucher/innen,Olympiastadion,2012,201205,141510,9181,"1011,63","1441,34",54621
Besucher/innen,Olympiastadion,2012,201204,12730,47234,"180,15","-73,05",43594
Besucher/innen,Olympiastadion,2012,201203,4544,5384,128,"-15,6",46469
Besucher/innen,Olympiastadion,2012,201202,1993,18908,"-45,53","-89,46",46539
Besucher/innen,Olympiastadion,2012,201201,3659,4240,"-46,71","-13,7",47949
Besucher/innen,Olympiastadion,2011,201112,6866,6389,"9,79","7,47",47997
Besucher/innen,Olympiastadion,2011,201111,6254,5630,"-89,91","11,08",47958
Besucher/innen,Olympiastadion,2011,201110,61953,63279,"461,07","-2,1",47906
Besucher/innen,Olympiastadion,2011,201109,11042,83917,"-77,78","-86,84",48016
Besucher/innen,Olympiastadion,2011,201108,49702,51888,"-78,62","-4,21",54089
Besucher/innen,Olympiastadion,2011,201107,232470,201817,"89,41","15,19",54271
Besucher/innen,Olympiastadion,2011,201106,122733,97904,"1236,82","25,36",51717
Besucher/innen,Olympiastadion,2011,201105,9181,66747,"-80,56","-86,25",49648
Besucher/innen,Olympiastadion,2011,201104,47234,8809,"777,3","436,2",54445
Besucher/innen,Olympiastadion,2011,201103,5384,8331,"-71,53","-35,37",51243
Besucher/innen,Olympiastadion,2011,201102,18908,3211,"345,94","488,85",51488
Besucher/innen,Olympiastadion,2011,201101,4240,4824,"-33,64","-12,11",50180
Besucher/innen,Olympiastadion,2010,201012,6389,4575,"13,48","39,65",50229
Besucher/innen,Olympiastadion,2010,201011,5630,5238,"-91,1","7,48",50078
Besucher/innen,Olympiastadion,2010,201010,63279,43844,"-24,59","44,33",50045
Besucher/innen,Olympiastadion,2010,201009,83917,25239,"61,73","232,49",48425
Besucher/innen,Olympiastadion,2010,201008,51888,50498,"-74,29","2,75",43536
Besucher/innen,Olympiastadion,2010,201007,201817,252447,"106,14","-20,06",43420
Besucher/innen,Olympiastadion,2010,201006,97904,69559,"46,68","40,75",47639
Besucher/innen,Olympiastadion,2010,201005,66747,81311,"657,71","-17,91",45277
Besucher/innen,Olympiastadion,2010,201004,8809,46413,"5,74","-81,02",46491
Besucher/innen,Olympiastadion,2010,201003,8331,5642,"159,45","47,66",49624
Besucher/innen,Olympiastadion,2010,201002,3211,2815,"-33,44","14,07",49400
Besucher/innen,Olympiastadion,2010,201001,4824,4338,"5,44","11,2",49367
Besucher/innen,Olympiastadion,2009,200912,4575,11168,"-12,66","-59,03",49327
Besucher/innen,Olympiastadion,2009,200911,5238,5169,"-88,05","1,33",49876
Besucher/innen,Olympiastadion,2009,200910,43844,61200,"73,72","-28,36",49870
Besucher/innen,Olympiastadion,2009,200909,25239,12814,"-50,02","96,96",51317
Besucher/innen,Olympiastadion,2009,200908,50498,50643,-80,"-0,29",50281
Besucher/innen,Olympiastadion,2009,200907,252447,47727,"262,92","428,94",50293
Besucher/innen,Olympiastadion,2009,200906,69559,142126,"-14,45","-51,06",33233
Besucher/innen,Olympiastadion,2009,200905,81311,85336,"75,19","-4,72",39281
Besucher/innen,Olympiastadion,2009,200904,46413,12731,"722,63","264,57",39616
Besucher/innen,Olympiastadion,2009,200903,5642,35912,"100,43","-84,29",36809
Besucher/innen,Olympiastadion,2009,200902,2815,7004,"-35,11","-59,81",39332
Besucher/innen,Olympiastadion,2009,200901,4338,5558,"-61,16","-21,95",39681
Besucher/innen,Olympiastadion,2008,200812,11168,32856,"116,06","-66,01",39782
Besucher/innen,Olympiastadion,2008,200811,5169,5324,"-91,55","-2,91",41590
Besucher/innen,Olympiastadion,2008,200810,61200,60584,"377,6","1,02",41603
Besucher/innen,Olympiastadion,2008,200809,12814,55786,"-74,7","-77,03",41551
Besucher/innen,Olympiastadion,2008,200808,50643,80738,"6,11","-37,27",45132
Besucher/innen,Olympiastadion,2008,200807,47727,118013,"-66,42","-59,56",47640
Besucher/innen,Olympiastadion,2008,200806,142126,146617,"66,55","-3,06",53497
Besucher/innen,Olympiastadion,2008,200805,85336,22024,"570,3","287,47",53872
Besucher/innen,Olympiastadion,2008,200804,12731,16329,"-64,55","-22,03",48596
Besucher/innen,Olympiastadion,2008,200803,35912,10831,"412,74","231,57",48895
Besucher/innen,Olympiastadion,2008,200802,7004,7565,"26,02","-7,42",46805
Besucher/innen,Olympiastadion,2008,200801,5558,5991,"-83,08","-7,23",46852
Besucher/innen,Olympiastadion,2007,200712,32856,39489,"517,13","-16,8",46888
Besucher/innen,Olympiastadion,2007,200711,5324,4668,"-91,21","14,05",47441
Besucher/innen,Olympiastadion,2007,200710,60584,51612,"8,6","17,38",47386
Besucher/innen,Olympiastadion,2007,200709,55786,17463,"-30,9","219,45",46639
Besucher/innen,Olympiastadion,2007,200708,80738,234786,"-31,59","-65,61",43445
Besucher/innen,Olympiastadion,2007,200707,118013,198562,"-19,51","-40,57",56282
Besucher/innen,Olympiastadion,2007,200706,146617,51009,"565,71","187,43",62995
Besucher/innen,Olympiastadion,2007,200705,22024,118845,"34,88","-81,47",55027
Besucher/innen,Olympiastadion,2007,200704,16329,18306,"50,76","-10,8",63096
Besucher/innen,Olympiastadion,2007,200703,10831,6259,"43,17","73,05",63261
Besucher/innen,Olympiastadion,2007,200702,7565,33417,"26,27","-77,36",62880
Besucher/innen,Olympiastadion,2007,200701,5991,4438,"-84,83","34,99",65034
Besucher/innen,Olympiastadion,2006,200612,39489,61959,"745,95","-36,27",64905
Besucher/innen,Olympiastadion,2006,200611,4668,6751,"-90,96","-30,85",66777
Besucher/innen,Olympiastadion,2006,200610,51612,45282,"195,55","13,98",66951
Besucher/innen,Olympiastadion,2006,200609,17463,14855,"-92,56","17,56",66423
Besucher/innen,Olympiastadion,2006,200608,234786,97940,"18,24","139,72",66206
Besucher/innen,Olympiastadion,2006,200607,198562,62185,"289,27","219,31",54802
Besucher/innen,Olympiastadion,2006,200606,51009,52213,"-57,08","-2,31",43437
Besucher/innen,Olympiastadion,2006,200605,118845,109242,"549,21","8,79",43538
Besucher/innen,Olympiastadion,2006,200604,18306,238575,"192,47","-92,33",42737
Besucher/innen,Olympiastadion,2006,200603,6259,153295,"-81,27","-95,92",61093
Besucher/innen,Olympiastadion,2006,200602,33417,192440,"652,97","-82,64",73346
Besucher/innen,Olympiastadion,2006,200601,4438,47636,"-92,84","-90,68",86598
Besucher/innen,Olympiastadion,2005,200512,61959,69843,"817,78","-11,29",90198
Besucher/innen,Olympiastadion,2005,200511,6751,313208,"-85,09","-97,84",90855
Besucher/innen,Olympiastadion,2005,200510,45282,165322,"204,83","-72,61",116393
Besucher/innen,Olympiastadion,2005,200509,14855,163817,"-84,83","-90,93",126396
Besucher/innen,Olympiastadion,2005,200508,97940,149922,"57,5","-34,67",138810
Besucher/innen,Olympiastadion,2005,200507,62185,85321,"19,1","-27,12",143142
Besucher/innen,Olympiastadion,2005,200506,52213,111148,"-52,2","-53,02",145070
Besucher/innen,Olympiastadion,2005,200505,109242,223474,"-54,21","-51,12",149981
Besucher/innen,Olympiastadion,2005,200504,238575,211061,"55,63","13,04",159500
Besucher/innen,Olympiastadion,2005,200503,153295,152360,"-20,34","0,61",157207
Besucher/innen,Olympiastadion,2005,200502,192440,194551,"303,98","-1,09",157129
Besucher/innen,Olympiastadion,2005,200501,47636,26972,"-31,8","76,61",157305
Besucher/innen,Olympiastadion,2004,200412,69843,164243,"-77,7","-57,48",155583
Besucher/innen,Olympiastadion,2004,200411,313208,264251,"89,45","18,53",163450
Besucher/innen,Olympiastadion,2004,200410,165322,213078,"0,92","-22,41",159370
Besucher/innen,Olympiastadion,2004,200409,163817,194154,"9,27","-15,63",163350
Besucher/innen,Olympiastadion,2004,200408,149922,256412,"75,72","-41,53",165878
Besucher/innen,Olympiastadion,2004,200407,85321,136535,"-23,24","-37,51",174752
Besucher/innen,Olympiastadion,2004,200406,111148,194551,"-50,26","-42,87",179020
Besucher/innen,Olympiastadion,2004,200405,223474,264676,"5,88","-15,57",185970
Besucher/innen,Olympiastadion,2004,200404,211061,158381,"38,53","33,26",189404
Besucher/innen,Olympiastadion,2004,200403,152360,170695,"-21,69","-10,74",185014
Besucher/innen,Olympiastadion,2004,200402,194551,191428,"621,31","1,63",186542
Besucher/innen,Olympiastadion,2004,200401,26972,46679,"-83,58","-42,22",186281
Besucher/innen,Olympiastadion,2003,200312,164243,103596,"-37,85","58,54",187924
Besucher/innen,Olympiastadion,2003,200311,264251,246843,"24,02","7,05",182870
Besucher/innen,Olympiastadion,2003,200310,213078,226818,"9,75","-6,06",181419
Besucher/innen,Olympiastadion,2003,200309,194154,218916,"-24,28","-11,31",182564
Besucher/innen,Olympiastadion,2003,200308,256412,465243,"87,8","-44,89",184628
Besucher/innen,Olympiastadion,2003,200307,136535,24734,"-29,82","452,01",202030
Besucher/innen,Olympiastadion,2003,200306,194551,12438,"-26,49","1464,17",192713
Besucher/innen,Olympiastadion,2003,200305,264676,85595,"67,11","209,22",177537
Besucher/innen,Olympiastadion,2003,200304,158381,240010,"-7,21","-34,01",162614
Besucher/innen,Olympiastadion,2003,200303,170695,229335,"-10,83","-25,57",169416
Besucher/innen,Olympiastadion,2003,200302,191428,201519,"310,09","-5,01",174303
Besucher/innen,Olympiastadion,2003,200301,46679,29140,"-54,94","60,19",175144
Besucher/innen,Olympiastadion,2002,200212,103596,119350,"-58,03","-13,2",173682
Besucher/innen,Olympiastadion,2002,200211,246843,214867,"8,83","14,88",174995
Besucher/innen,Olympiastadion,2002,200210,226818,245681,"3,61","-7,68",172330
Besucher/innen,Olympiastadion,2002,200209,218916,264425,"-52,95","-17,21",173902
Besucher/innen,Olympiastadion,2002,200208,465243,179986,"1780,99","158,49",177695
Besucher/innen,Olympiastadion,2002,200207,24734,132095,"98,86","-81,28",153923
Besucher/innen,Olympiastadion,2002,200206,12438,149815,"-85,47","-91,7",162870
Besucher/innen,Olympiastadion,2002,200205,85595,225037,"-64,34","-61,96",174318
Besucher/innen,Olympiastadion,2002,200204,240010,253221,"4,65","-5,22",185938
Besucher/innen,Olympiastadion,2002,200203,229335,243017,"13,8","-5,63",187039
Besucher/innen,Olympiastadion,2002,200202,201519,156504,"591,55","28,76",188179
Besucher/innen,Olympiastadion,2002,200201,29140,39000,"-75,58","-25,28",184428
Besucher/innen,Olympiastadion,2001,200112,119350,155996,"-44,45","-23,49",185250
Besucher/innen,Olympiastadion,2001,200111,214867,208177,"-12,54","3,21",188304
Besucher/innen,Olympiastadion,2001,200110,245681,219020,"-7,09","12,17",187746
Besucher/innen,Olympiastadion,2001,200109,264425,264932,"46,91","-0,19",185524
Besucher/innen,Olympiastadion,2001,200108,179986,293106,"36,25","-38,59",185567
Besucher/innen,Olympiastadion,2001,200107,132095,197930,"-11,83","-33,26",194993
Besucher/innen,Olympiastadion,2001,200106,149815,20423,"-33,43","633,56",200480
Besucher/innen,Olympiastadion,2001,200105,225037,230485,"-11,13","-2,36",189697
Besucher/innen,Olympiastadion,2001,200104,253221,348904,"4,2","-27,42",190151
Besucher/innen,Olympiastadion,2001,200103,243017,244351,"55,28","-0,55",198125
Besucher/innen,Olympiastadion,2001,200102,156504,172987,"301,29","-9,53",198236
Besucher/innen,Olympiastadion,2001,200101,39000,6853,-75,"469,09",199609
Besucher/innen,Olympiastadion,2000,200012,155996,,"-25,07",,196930
Besucher/innen,Olympiastadion,2000,200011,208177,,"-4,95",,200652
Besucher/innen,Olympiastadion,2000,200010,219020,,"-17,33",,199899
Besucher/innen,Olympiastadion,2000,200009,264932,,"-9,61",,197775
Besucher/innen,Olympiastadion,2000,200008,293106,,"48,09",,189380
Besucher/innen,Olympiastadion,2000,200007,197930,,"869,15",,174562
Besucher/innen,Olympiastadion,2000,200006,20423,,"-91,14",,170667
Besucher/innen,Olympiastadion,2000,200005,230485,,"-33,94",,200716
Besucher/innen,Olympiastadion,2000,200004,348904,,"42,79",,193274
Besucher/innen,Olympiastadion,2000,200003,244351,,"41,25",,141397
Besucher/innen,Olympiastadion,2000,200002,172987,,"2424,25",,89920
Besucher/innen,Olympiastadion,2000,200001,6853,,,,6853
Besucher/innen,Tierpark Hellabrunn,2016,201612,44858,55848,"0,91","-19,68",81756
Besucher/innen,Tierpark Hellabrunn,2016,201611,44454,66931,"-49,71","-33,58",82671
Besucher/innen,Tierpark Hellabrunn,2016,201610,88402,73767,"-9,83","19,84",84545
Besucher/innen,Tierpark Hellabrunn,2016,201609,98041,95655,"-33,72","2,49",83325
Besucher/innen,Tierpark Hellabrunn,2016,201608,147926,164163,"23,76","-9,89",83126
Besucher/innen,Tierpark Hellabrunn,2016,201607,119531,111542,"95,09","7,16",84479
