ZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher/innen,insgesamt,2016,201612,383532,445382,"-6,54","-13,89",335262
Besucher/innen,insgesamt,2016,201611,410374,487763,"5,23","-15,87",340416
Besucher/innen,insgesamt,2016,201610,389979,402443,"75,12","-3,1",346865
Besucher/innen,insgesamt,2016,201609,222697,314285,"-30,32","-29,14",347904
Besucher/innen,insgesamt,2016,201608,319583,305589,"2,66","4,58",355536
Besucher/innen,insgesamt,2016,201607,311294,312768,"38,62","-0,47",354370
Besucher/innen,insgesamt,2016,201606,224564,321587,"-14,45","-30,17",354493
Besucher/innen,insgesamt,2016,201605,262491,312737,"2,55","-16,07",362578
Besucher/innen,insgesamt,2016,201604,255974,316783,"-30,83","-19,2",366765
Besucher/innen,insgesamt,2016,201603,370064,381935,"-4,65","-3,11",371833
Besucher/innen,insgesamt,2016,201602,388096,403048,"-19,9","-3,71",372822
Besucher/innen,insgesamt,2016,201601,484497,443257,"8,78","9,3",374068
Besucher/innen,insgesamt,2015,201512,445382,435450,"-8,69","2,28",370631
Besucher/innen,insgesamt,2015,201511,487763,400232,"21,2","21,87",369804
Besucher/innen,insgesamt,2015,201510,402443,347536,"28,05","15,8",362510
Besucher/innen,insgesamt,2015,201509,314285,300425,"2,85","4,61",357934
Besucher/innen,insgesamt,2015,201508,305589,458715,"-2,3","-33,38",356779
Besucher/innen,insgesamt,2015,201507,312768,309390,"-2,74","1,09",369539
Besucher/innen,insgesamt,2015,201506,321587,198531,"2,83","61,98",369258
Besucher/innen,insgesamt,2015,201505,312737,299775,"-1,28","4,32",359003
Besucher/innen,insgesamt,2015,201504,316783,329415,"-17,06","-3,83",357923
Besucher/innen,insgesamt,2015,201503,381935,393133,"-5,24","-2,85",358976
Besucher/innen,insgesamt,2015,201502,403048,350384,"-9,07","15,03",359909
Besucher/innen,insgesamt,2015,201501,443257,467745,"1,79","-5,24",355520
Besucher/innen,insgesamt,2014,201412,435450,441800,"8,8","-1,44",357561
Besucher/innen,insgesamt,2014,201411,400232,480673,"15,16","-16,74",358090
Besucher/innen,insgesamt,2014,201410,347536,344067,"15,68","1,01",364794
Besucher/innen,insgesamt,2014,201409,300425,275948,"-34,51","8,87",364504
Besucher/innen,insgesamt,2014,201408,458715,346058,"48,26","32,55",362465
Besucher/innen,insgesamt,2014,201407,309390,299422,"55,84","3,33",353077
Besucher/innen,insgesamt,2014,201406,198531,308784,"-33,77","-35,71",352246
Besucher/innen,insgesamt,2014,201405,299775,412618,-9,"-27,35",361434
Besucher/innen,insgesamt,2014,201404,329415,252930,"-16,21","30,24",370837
Besucher/innen,insgesamt,2014,201403,393133,380941,"12,2","3,2",364464
Besucher/innen,insgesamt,2014,201402,350384,400680,"-25,09","-12,55",363448
Besucher/innen,insgesamt,2014,201401,467745,474371,"5,87","-1,4",367639
Besucher/innen,insgesamt,2013,201312,441800,436837,"-8,09","1,14",368191
Besucher/innen,insgesamt,2013,201311,480673,506696,"39,7","-5,14",367777
Besucher/innen,insgesamt,2013,201310,344067,351548,"24,69","-2,13",369946
Besucher/innen,insgesamt,2013,201309,275948,302707,"-20,26","-8,84",370569
Besucher/innen,insgesamt,2013,201308,346058,373759,"15,58","-7,41",372799
Besucher/innen,insgesamt,2013,201307,299422,402051,"-3,03","-25,53",375108
Besucher/innen,insgesamt,2013,201306,308784,225704,"-25,16","36,81",383660
Besucher/innen,insgesamt,2013,201305,412618,307867,"63,14","34,02",376737
Besucher/innen,insgesamt,2013,201304,252930,400408,"-33,6","-36,83",368008
Besucher/innen,insgesamt,2013,201303,380941,361706,"-4,93","5,32",380297
Besucher/innen,insgesamt,2013,201302,400680,424237,"-15,53","-5,55",378695
Besucher/innen,insgesamt,2013,201301,474371,507594,"8,59","-6,55",380658
Besucher/innen,insgesamt,2012,201212,436837,419207,"-13,79","4,21",383426
Besucher/innen,insgesamt,2012,201211,506696,407966,"44,13","24,2",381957
Besucher/innen,insgesamt,2012,201210,351548,326551,"16,13","7,65",373730
Besucher/innen,insgesamt,2012,201209,302707,274319,"-19,01","10,35",371646
Besucher/innen,insgesamt,2012,201208,373759,354625,"-7,04","5,4",369281
Besucher/innen,insgesamt,2012,201207,402051,435362,"78,13","-7,65",367686
Besucher/innen,insgesamt,2012,201206,225704,439310,"-26,69","-48,62",370462
Besucher/innen,insgesamt,2012,201205,307867,264538,"-23,11","16,38",388263
Besucher/innen,insgesamt,2012,201204,400408,274640,"10,7","45,79",384652
Besucher/innen,insgesamt,2012,201203,361706,405966,"-14,74","-10,9",374171
Besucher/innen,insgesamt,2012,201202,424237,398006,"-16,42","6,59",377860
Besucher/innen,insgesamt,2012,201201,507594,448441,"21,08","13,19",375674
Besucher/innen,insgesamt,2011,201112,419207,325891,"2,76","28,63",370744
Besucher/innen,insgesamt,2011,201111,407966,398277,"24,93","2,43",362968
Besucher/innen,insgesamt,2011,201110,326551,358099,"19,04","-8,81",362161
Besucher/innen,insgesamt,2011,201109,274319,293921,"-22,65","-6,67",364790
Besucher/innen,insgesamt,2011,201108,354625,460904,"-18,54","-23,06",366423
