ZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher/innen,Alte Pinakothek,2016,201612,15503,15344,"11,89","1,04",15833
Besucher/innen,Alte Pinakothek,2016,201611,13856,13584,"-20,81",2,15820
Besucher/innen,Alte Pinakothek,2016,201610,17498,22501,"47,4","-22,23",15797
Besucher/innen,Alte Pinakothek,2016,201609,11871,18027,"-35,57","-34,15",16214
Besucher/innen,Alte Pinakothek,2016,201608,18425,23021,"-4,83","-19,96",16727
Besucher/innen,Alte Pinakothek,2016,201607,19360,19795,"18,06","-2,2",17110
Besucher/innen,Alte Pinakothek,2016,201606,16399,15103,"6,4","8,58",17146
Besucher/innen,Alte Pinakothek,2016,201605,15412,17578,"-3,18","-12,32",17038
Besucher/innen,Alte Pinakothek,2016,201604,15918,12749,"-7,42","24,86",17219
Besucher/innen,Alte Pinakothek,2016,201603,17194,12086,"37,97","42,26",16955
Besucher/innen,Alte Pinakothek,2016,201602,12462,28355,"-22,59","-56,05",16529
Besucher/innen,Alte Pinakothek,2016,201601,16098,54261,"4,91","-70,33",17853
Besucher/innen,Alte Pinakothek,2015,201512,15344,31105,"12,96","-50,67",21034
Besucher/innen,Alte Pinakothek,2015,201511,13584,31242,"-39,63","-56,52",22347
Besucher/innen,Alte Pinakothek,2015,201510,22501,21913,"24,82","2,68",23819
Besucher/innen,Alte Pinakothek,2015,201509,18027,14164,"-21,69","27,27",23770
Besucher/innen,Alte Pinakothek,2015,201508,23021,25328,"16,3","-9,11",23448
Besucher/innen,Alte Pinakothek,2015,201507,19795,20606,"31,07","-3,94",23640
Besucher/innen,Alte Pinakothek,2015,201506,15103,15161,"-14,08","-0,38",23708
Besucher/innen,Alte Pinakothek,2015,201505,17578,17519,"37,88","0,34",23712
Besucher/innen,Alte Pinakothek,2015,201504,12749,17310,"5,49","-26,35",23707
Besucher/innen,Alte Pinakothek,2015,201503,12086,16275,"-57,38","-25,74",24088
Besucher/innen,Alte Pinakothek,2015,201502,28355,14464,"-47,74","96,04",24437
Besucher/innen,Alte Pinakothek,2015,201501,54261,17653,"74,44","207,38",23279
Besucher/innen,Alte Pinakothek,2014,201412,31105,16911,"-0,44","83,93",20228
Besucher/innen,Alte Pinakothek,2014,201411,31242,16765,"42,57","86,35",19046
Besucher/innen,Alte Pinakothek,2014,201410,21913,20091,"54,71","9,07",17839
Besucher/innen,Alte Pinakothek,2014,201409,14164,15103,"-44,08","-6,22",17687
Besucher/innen,Alte Pinakothek,2014,201408,25328,24708,"22,92","2,51",17766
Besucher/innen,Alte Pinakothek,2014,201407,20606,18658,"35,91","10,44",17714
Besucher/innen,Alte Pinakothek,2014,201406,15161,25414,"-13,46","-40,34",17552
Besucher/innen,Alte Pinakothek,2014,201405,17519,39783,"1,21","-55,96",18406
Besucher/innen,Alte Pinakothek,2014,201404,17310,35897,"6,36","-51,78",20261
Besucher/innen,Alte Pinakothek,2014,201403,16275,30519,"12,52","-46,67",21810
Besucher/innen,Alte Pinakothek,2014,201402,14464,14828,"-18,06","-2,45",22997
Besucher/innen,Alte Pinakothek,2014,201401,17653,18807,"4,39","-6,14",23028
Besucher/innen,Alte Pinakothek,2013,201312,16911,24296,"0,87","-30,4",23124
Besucher/innen,Alte Pinakothek,2013,201311,16765,19751,"-16,55","-15,12",23739
Besucher/innen,Alte Pinakothek,2013,201310,20091,25527,"33,03","-21,3",23988
Besucher/innen,Alte Pinakothek,2013,201309,15103,18993,"-38,87","-20,48",24441
Besucher/innen,Alte Pinakothek,2013,201308,24708,27780,"32,43","-11,06",24765
Besucher/innen,Alte Pinakothek,2013,201307,18658,26056,"-26,58","-28,39",25021
Besucher/innen,Alte Pinakothek,2013,201306,25414,18261,"-36,12","39,17",25638
Besucher/innen,Alte Pinakothek,2013,201305,39783,18402,"10,83","116,19",25042
Besucher/innen,Alte Pinakothek,2013,201304,35897,22691,"17,62","58,2",23260
Besucher/innen,Alte Pinakothek,2013,201303,30519,18169,"105,82","67,97",22159
Besucher/innen,Alte Pinakothek,2013,201302,14828,17078,"-21,16","-13,17",21130
Besucher/innen,Alte Pinakothek,2013,201301,18807,33530,"-22,59","-43,91",21318
Besucher/innen,Alte Pinakothek,2012,201212,24296,33922,"23,01","-28,38",22545
Besucher/innen,Alte Pinakothek,2012,201211,19751,33922,"-22,63","-41,78",23347
Besucher/innen,Alte Pinakothek,2012,201210,25527,32583,"34,4","-21,66",24528
Besucher/innen,Alte Pinakothek,2012,201209,18993,20199,"-31,63","-5,97",25116
Besucher/innen,Alte Pinakothek,2012,201208,27780,31191,"6,62","-10,94",25216
Besucher/innen,Alte Pinakothek,2012,201207,26056,34452,"42,69","-24,37",25500
Besucher/innen,Alte Pinakothek,2012,201206,18261,35029,"-0,77","-47,87",26200
Besucher/innen,Alte Pinakothek,2012,201205,18402,30920,"-18,9","-40,49",27597
Besucher/innen,Alte Pinakothek,2012,201204,22691,33908,"24,89","-33,08",28641
Besucher/innen,Alte Pinakothek,2012,201203,18169,26453,"6,39","-31,32",29575
Besucher/innen,Alte Pinakothek,2012,201202,17078,21301,"-49,07","-19,83",30266
Besucher/innen,Alte Pinakothek,2012,201201,33530,25303,"-1,16","32,51",30618
Besucher/innen,Alte Pinakothek,2011,201112,33922,25936,0,"30,79",29932
Besucher/innen,Alte Pinakothek,2011,201111,33922,18035,"4,11","88,09",29266
Besucher/innen,Alte Pinakothek,2011,201110,32583,28243,"61,31","15,37",27943
Besucher/innen,Alte Pinakothek,2011,201109,20199,19798,"-35,24","2,03",27581
Besucher/innen,Alte Pinakothek,2011,201108,31191,34235,"-9,47","-8,89",27547
Besucher/innen,Alte Pinakothek,2011,201107,34452,27910,"-1,65","23,44",27801
Besucher/innen,Alte Pinakothek,2011,201106,35029,21512,"13,29","62,83",27256
Besucher/innen,Alte Pinakothek,2011,201105,30920,22128,"-8,81","39,73",26130
Besucher/innen,Alte Pinakothek,2011,201104,33908,18502,"28,18","83,27",25397
Besucher/innen,Alte Pinakothek,2011,201103,26453,21638,"24,19","22,25",24113
Besucher/innen,Alte Pinakothek,2011,201102,21301,17965,"-15,82","18,57",23712
Besucher/innen,Alte Pinakothek,2011,201101,25303,18622,"-2,44","35,88",23434
Besucher/innen,Alte Pinakothek,2010,201012,25936,28181,"43,81","-7,97",22877
Besucher/innen,Alte Pinakothek,2010,201011,18035,25088,"-36,14","-28,11",23064
Besucher/innen,Alte Pinakothek,2010,201010,28243,26234,"42,66","7,66",23652
Besucher/innen,Alte Pinakothek,2010,201009,19798,12180,"-42,17","62,55",23484
Besucher/innen,Alte Pinakothek,2010,201008,34235,18793,"22,66","82,17",22850
Besucher/innen,Alte Pinakothek,2010,201007,27910,18059,"29,74","54,55",21563
Besucher/innen,Alte Pinakothek,2010,201006,21512,15491,"-2,78","38,87",20742
Besucher/innen,Alte Pinakothek,2010,201005,22128,16646,"19,6","32,93",20240
Besucher/innen,Alte Pinakothek,2010,201004,18502,16086,"-14,49","15,02",19783
Besucher/innen,Alte Pinakothek,2010,201003,21638,21808,"20,45","-0,78",19582
Besucher/innen,Alte Pinakothek,2010,201002,17965,17460,"-3,53","2,89",19596
Besucher/innen,Alte Pinakothek,2010,201001,18622,16117,"-33,92","15,54",19554
Besucher/innen,Alte Pinakothek,2009,200912,28181,17435,"12,33","61,63",19345
Besucher/innen,Alte Pinakothek,2009,200911,25088,13325,"-4,37","88,28",18450
Besucher/innen,Alte Pinakothek,2009,200910,26234,16624,"115,39","57,81",17470
Besucher/innen,Alte Pinakothek,2009,200909,12180,17788,"-35,19","-31,53",16669
Besucher/innen,Alte Pinakothek,2009,200908,18793,25552,"4,06","-26,45",17136
Besucher/innen,Alte Pinakothek,2009,200907,18059,24124,"16,58","-25,14",17699
Besucher/innen,Alte Pinakothek,2009,200906,15491,15900,"-6,94","-2,57",18205
Besucher/innen,Alte Pinakothek,2009,200905,16646,20072,"3,48","-17,07",18239
Besucher/innen,Alte Pinakothek,2009,200904,16086,18125,"-26,24","-11,25",18524
Besucher/innen,Alte Pinakothek,2009,200903,21808,20488,"24,9","6,44",18694
Besucher/innen,Alte Pinakothek,2009,200902,17460,16349,"8,33","6,8",18584
Besucher/innen,Alte Pinakothek,2009,200901,16117,19449,"-7,56","-17,13",18492
Besucher/innen,Alte Pinakothek,2008,200812,17435,22308,"30,84","-21,84",18769
Besucher/innen,Alte Pinakothek,2008,200811,13325,17084,"-19,84",-22,19175
Besucher/innen,Alte Pinakothek,2008,200810,16624,20063,"-6,54","-17,14",19489
Besucher/innen,Alte Pinakothek,2008,200809,17788,16742,"-30,39","6,25",19775
Besucher/innen,Alte Pinakothek,2008,200808,25552,23294,"5,92","9,69",19688
Besucher/innen,Alte Pinakothek,2008,200807,24124,21900,"51,72","10,16",19500
Besucher/innen,Alte Pinakothek,2008,200806,15900,15535,"-20,79","2,35",19315
Besucher/innen,Alte Pinakothek,2008,200805,20072,17250,"10,74","16,36",19284
Besucher/innen,Alte Pinakothek,2008,200804,18125,16175,"-11,53","12,06",19049
Besucher/innen,Alte Pinakothek,2008,200803,20488,17908,"25,32","14,41",18886
Besucher/innen,Alte Pinakothek,2008,200802,16349,13189,"-15,94","23,96",18671
Besucher/innen,Alte Pinakothek,2008,200801,19449,16938,"-12,82","14,82",18408
Besucher/innen,Alte Pinakothek,2007,200712,22308,19994,"30,58","11,57",18199
Besucher/innen,Alte Pinakothek,2007,200711,17084,26964,"-14,85","-36,64",18006
Besucher/innen,Alte Pinakothek,2007,200710,20063,31699,"19,84","-36,71",18829
Besucher/innen,Alte Pinakothek,2007,200709,16742,21864,"-28,13","-23,43",19799
Besucher/innen,Alte Pinakothek,2007,200708,23294,27815,"6,37","-16,25",20226
Besucher/innen,Alte Pinakothek,2007,200707,21900,19648,"40,97","11,46",20603
Besucher/innen,Alte Pinakothek,2007,200706,15535,15922,"-9,94","-2,43",20415
Besucher/innen,Alte Pinakothek,2007,200705,17250,25749,"6,65","-33,01",20447
Besucher/innen,Alte Pinakothek,2007,200704,16175,22871,"-9,68","-29,28",21155
Besucher/innen,Alte Pinakothek,2007,200703,17908,18214,"35,78","-1,68",21713
Besucher/innen,Alte Pinakothek,2007,200702,13189,19897,"-22,13","-33,71",21739
Besucher/innen,Alte Pinakothek,2007,200701,16938,22009,"-15,28","-23,04",22298
Besucher/innen,Alte Pinakothek,2006,200612,19994,17410,"-25,85","14,84",22721
Besucher/innen,Alte Pinakothek,2006,200611,26964,13756,"-14,94","96,02",22505
Besucher/innen,Alte Pinakothek,2006,200610,31699,21383,"44,98","48,24",21405
Besucher/innen,Alte Pinakothek,2006,200609,21864,13592,"-21,39","60,86",20545
Besucher/innen,Alte Pinakothek,2006,200608,27815,25306,"41,57","9,91",19856
Besucher/innen,Alte Pinakothek,2006,200607,19648,23142,"23,4","-15,1",19646
Besucher/innen,Alte Pinakothek,2006,200606,15922,16905,"-38,16","-5,81",19938
Besucher/innen,Alte Pinakothek,2006,200605,25749,16669,"12,58","54,47",20020
Besucher/innen,Alte Pinakothek,2006,200604,22871,16743,"25,57","36,6",19263
Besucher/innen,Alte Pinakothek,2006,200603,18214,17063,"-8,46","6,75",18752
Besucher/innen,Alte Pinakothek,2006,200602,19897,11490,"-9,6","73,17",18656
Besucher/innen,Alte Pinakothek,2006,200601,22009,14496,"26,42","51,83",17956
Besucher/innen,Alte Pinakothek,2005,200512,17410,17210,"26,56","1,16",17330
Besucher/innen,Alte Pinakothek,2005,200511,13756,17125,"-35,67","-19,67",17313
Besucher/innen,Alte Pinakothek,2005,200510,21383,23169,"57,32","-7,71",17594
Besucher/innen,Alte Pinakothek,2005,200509,13592,21556,"-46,29","-36,95",17743
Besucher/innen,Alte Pinakothek,2005,200508,25306,32077,"9,35","-21,11",18406
Besucher/innen,Alte Pinakothek,2005,200507,23142,22398,"36,89","3,32",18970
Besucher/innen,Alte Pinakothek,2005,200506,16905,22825,"1,42","-25,94",18908
Besucher/innen,Alte Pinakothek,2005,200505,16669,26690,"-0,44","-37,55",19402
Besucher/innen,Alte Pinakothek,2005,200504,16743,22570,"-1,88","-25,82",20237
Besucher/innen,Alte Pinakothek,2005,200503,17063,20441,"48,5","-16,53",20722
Besucher/innen,Alte Pinakothek,2005,200502,11490,21400,"-20,74","-46,31",21004
Besucher/innen,Alte Pinakothek,2005,200501,14496,21921,"-15,77","-33,87",21830
Besucher/innen,Alte Pinakothek,2004,200412,17210,20984,"0,5","-17,99",22449
Besucher/innen,Alte Pinakothek,2004,200411,17125,17587,"-26,09","-2,63",22763
Besucher/innen,Alte Pinakothek,2004,200410,23169,31622,"7,48","-26,73",22802
Besucher/innen,Alte Pinakothek,2004,200409,21556,20431,"-32,8","5,51",23506
Besucher/innen,Alte Pinakothek,2004,200408,32077,25495,"43,21","25,82",23412
Besucher/innen,Alte Pinakothek,2004,200407,22398,27289,"-1,87","-17,92",22864
Besucher/innen,Alte Pinakothek,2004,200406,22825,20222,"-14,48","12,87",23271
Besucher/innen,Alte Pinakothek,2004,200405,26690,20014,"18,25","33,36",23054
Besucher/innen,Alte Pinakothek,2004,200404,22570,19212,"10,42","17,48",22498
Besucher/innen,Alte Pinakothek,2004,200403,20441,20661,"-4,48","-1,06",22218
Besucher/innen,Alte Pinakothek,2004,200402,21400,14512,"-2,38","47,46",22237
Besucher/innen,Alte Pinakothek,2004,200401,21921,17878,"4,47","22,61",21663
Besucher/innen,Alte Pinakothek,2003,200312,20984,18730,"19,32","12,03",21326
Besucher/innen,Alte Pinakothek,2003,200311,17587,16515,"-44,38","6,49",21138
Besucher/innen,Alte Pinakothek,2003,200310,31622,30314,"54,77","4,31",21048
Besucher/innen,Alte Pinakothek,2003,200309,20431,22656,"-19,86","-9,82",20939
Besucher/innen,Alte Pinakothek,2003,200308,25495,34510,"-6,57","-26,12",21125
Besucher/innen,Alte Pinakothek,2003,200307,27289,25704,"34,95","6,17",21876
Besucher/innen,Alte Pinakothek,2003,200306,20222,15745,"1,04","28,43",21744
Besucher/innen,Alte Pinakothek,2003,200305,20014,24275,"4,17","-17,55",21371
Besucher/innen,Alte Pinakothek,2003,200304,19212,19595,"-7,01","-1,95",21726
Besucher/innen,Alte Pinakothek,2003,200303,20661,18848,"42,37","9,62",21758
Besucher/innen,Alte Pinakothek,2003,200302,14512,25853,"-18,83","-43,87",21607
Besucher/innen,Alte Pinakothek,2003,200301,17878,20162,"-4,55","-11,33",22552
Besucher/innen,Alte Pinakothek,2002,200212,18730,20738,"13,41","-9,68",22742
Besucher/innen,Alte Pinakothek,2002,200211,16515,21798,"-45,52","-24,24",22910
Besucher/innen,Alte Pinakothek,2002,200210,30314,18936,"33,8","60,09",23350
Besucher/innen,Alte Pinakothek,2002,200209,22656,24144,"-34,35","-6,16",22402
Besucher/innen,Alte Pinakothek,2002,200208,34510,47023,"34,26","-26,61",22526
Besucher/innen,Alte Pinakothek,2002,200207,25704,39101,"63,25","-34,26",23568
Besucher/innen,Alte Pinakothek,2002,200206,15745,32068,"-35,14","-50,9",24685
Besucher/innen,Alte Pinakothek,2002,200205,24275,31642,"23,88","-23,28",26045
Besucher/innen,Alte Pinakothek,2002,200204,19595,56436,"3,96","-65,28",26659
Besucher/innen,Alte Pinakothek,2002,200203,18848,70567,"-27,1","-73,29",29729
Besucher/innen,Alte Pinakothek,2002,200202,25853,54045,"28,23","-52,16",34039
Besucher/innen,Alte Pinakothek,2002,200201,20162,19988,"-2,78","0,87",36388
Besucher/innen,Alte Pinakothek,2001,200112,20738,16812,"-4,86","23,35",36374
Besucher/innen,Alte Pinakothek,2001,200111,21798,22069,"15,11","-1,23",36047
Besucher/innen,Alte Pinakothek,2001,200110,18936,37823,"-21,57","-49,94",36069
Besucher/innen,Alte Pinakothek,2001,200109,24144,30711,"-48,65","-21,38",37643
Besucher/innen,Alte Pinakothek,2001,200108,47023,29980,"20,26","56,85",38190
Besucher/innen,Alte Pinakothek,2001,200107,39101,37193,"21,93","5,13",36770
Besucher/innen,Alte Pinakothek,2001,200106,32068,28401,"1,35","12,91",36611
Besucher/innen,Alte Pinakothek,2001,200105,31642,21291,"-43,93","48,62",36306
Besucher/innen,Alte Pinakothek,2001,200104,56436,16750,"-20,02","236,93",35443
Besucher/innen,Alte Pinakothek,2001,200103,70567,26725,"30,57","164,05",32136
Besucher/innen,Alte Pinakothek,2001,200102,54045,20684,"170,39","161,29",28482
Besucher/innen,Alte Pinakothek,2001,200101,19988,23178,"18,89","-13,76",25702
Besucher/innen,Alte Pinakothek,2000,200012,16812,,"-23,82",,25968
Besucher/innen,Alte Pinakothek,2000,200011,22069,,"-41,65",,26800
Besucher/innen,Alte Pinakothek,2000,200010,37823,,"23,16",,27274
Besucher/innen,Alte Pinakothek,2000,200009,30711,,"2,44",,26101
Besucher/innen,Alte Pinakothek,2000,200008,29980,,"-19,39",,25525
Besucher/innen,Alte Pinakothek,2000,200007,37193,,"30,96",,24889
Besucher/innen,Alte Pinakothek,2000,200006,28401,,"33,39",,22838
Besucher/innen,Alte Pinakothek,2000,200005,21291,,"27,11",,21726
Besucher/innen,Alte Pinakothek,2000,200004,16750,,"-37,32",,21834
Besucher/innen,Alte Pinakothek,2000,200003,26725,,"29,21",,23529
Besucher/innen,Alte Pinakothek,2000,200002,20684,,"-10,76",,21931
Besucher/innen,Alte Pinakothek,2000,200001,23178,,,,23178
Besucher/innen,Bayerisches Nationalmuseum,2017,201708,3271,8891,"-38,18","-63,21",5788
Besucher/innen,Bayerisches Nationalmuseum,2017,201707,5291,12486,"75,61","-57,62",6256
Besucher/innen,Bayerisches Nationalmuseum,2017,201706,3013,10282,"-29,04","-70,7",6856
Besucher/innen,Bayerisches Nationalmuseum,2017,201705,4246,7938,"-14,64","-46,51",7461
Besucher/innen,Bayerisches Nationalmuseum,2017,201704,4974,5507,"-21,27","-9,68",7769
Besucher/innen,Bayerisches Nationalmuseum,2017,201703,6318,6555,"7,83","-3,62",7813
Besucher/innen,Bayerisches Nationalmuseum,2017,201702,5859,10470,"-9,81","-44,04",7833
Besucher/innen,Bayerisches Nationalmuseum,2017,201701,6496,7857,"-45,94","-17,32",8217
Besucher/innen,Bayerisches Nationalmuseum,2016,201612,12017,10585,"77,5","13,53",8331
Besucher/innen,Bayerisches Nationalmuseum,2016,201611,6770,9141,"-5,79","-25,94",8212
Besucher/innen,Bayerisches Nationalmuseum,2016,201610,7186,9008,"79,16","-20,23",8409
Besucher/innen,Bayerisches Nationalmuseum,2016,201609,4011,4637,"-54,89","-13,5",8561
Besucher/innen,Bayerisches Nationalmuseum,2016,201608,8891,4943,"-28,79","79,87",8613
Besucher/innen,Bayerisches Nationalmuseum,2016,201607,12486,10686,"21,44","16,84",8284
Besucher/innen,Bayerisches Nationalmuseum,2016,201606,10282,2532,"29,53","306,08",8134
Besucher/innen,Bayerisches Nationalmuseum,2016,201605,7938,13801,"44,14","-42,48",7488
Besucher/innen,Bayerisches Nationalmuseum,2016,201604,5507,9536,"-15,99","-42,25",7977
Besucher/innen,Bayerisches Nationalmuseum,2016,201603,6555,11621,"-37,39","-43,59",8313
Besucher/innen,Bayerisches Nationalmuseum,2016,201602,10470,13273,"33,26","-21,12",8735
Besucher/innen,Bayerisches Nationalmuseum,2016,201601,7857,6183,"-25,77","27,07",8968
Besucher/innen,Bayerisches Nationalmuseum,2015,201512,10585,21728,"15,8","-51,28",8829
Besucher/innen,Bayerisches Nationalmuseum,2015,201511,9141,10491,"1,48","-12,87",9757
Besucher/innen,Bayerisches Nationalmuseum,2015,201510,9008,14550,"94,26","-38,09",9870
Besucher/innen,Bayerisches Nationalmuseum,2015,201509,4637,5516,"-6,19","-15,94",10332
Besucher/innen,Bayerisches Nationalmuseum,2015,201508,4943,7594,"-53,74","-34,91",10405
Besucher/innen,Bayerisches Nationalmuseum,2015,201507,10686,8873,"322,04","20,43",10626
Besucher/innen,Bayerisches Nationalmuseum,2015,201506,2532,5793,"-81,65","-56,29",10475
Besucher/innen,Bayerisches Nationalmuseum,2015,201505,13801,7628,"44,73","80,93",10747
Besucher/innen,Bayerisches Nationalmuseum,2015,201504,9536,3338,"-17,94","185,68",10232
Besucher/innen,Bayerisches Nationalmuseum,2015,201503,11621,4509,"-12,45","157,73",9716
Besucher/innen,Bayerisches Nationalmuseum,2015,201502,13273,4278,"114,67","210,26",9123
Besucher/innen,Bayerisches Nationalmuseum,2015,201501,6183,6309,"-71,54",-2,8373
Besucher/innen,Bayerisches Nationalmuseum,2014,201412,21728,15399,"107,11","41,1",8384
Besucher/innen,Bayerisches Nationalmuseum,2014,201411,10491,9572,"-27,9","9,6",7857
Besucher/innen,Bayerisches Nationalmuseum,2014,201410,14550,16190,"163,78","-10,13",7780
Besucher/innen,Bayerisches Nationalmuseum,2014,201409,5516,11434,"-27,36","-51,76",7917
Besucher/innen,Bayerisches Nationalmuseum,2014,201408,7594,18804,"-14,41","-59,61",8410
Besucher/innen,Bayerisches Nationalmuseum,2014,201407,8873,12106,"53,17","-26,71",9344
Besucher/innen,Bayerisches Nationalmuseum,2014,201406,5793,13913,"-24,06","-58,36",9613
Besucher/innen,Bayerisches Nationalmuseum,2014,201405,7628,20300,"128,52","-62,42",10290
Besucher/innen,Bayerisches Nationalmuseum,2014,201404,3338,10094,"-25,97","-66,93",11346
Besucher/innen,Bayerisches Nationalmuseum,2014,201403,4509,4835,"5,4","-6,74",11909
Besucher/innen,Bayerisches Nationalmuseum,2014,201402,4278,4375,"-32,19","-2,22",11936
Besucher/innen,Bayerisches Nationalmuseum,2014,201401,6309,5793,"-59,03","8,91",11944
Besucher/innen,Bayerisches Nationalmuseum,2013,201312,15399,10298,"60,88","49,53",11901
Besucher/innen,Bayerisches Nationalmuseum,2013,201311,9572,5176,"-40,88","84,93",11476
Besucher/innen,Bayerisches Nationalmuseum,2013,201310,16190,6778,"41,6","138,86",11110
Besucher/innen,Bayerisches Nationalmuseum,2013,201309,11434,4819,"-39,19","137,27",10326
Besucher/innen,Bayerisches Nationalmuseum,2013,201308,18804,4177,"55,33","350,18",9774
Besucher/innen,Bayerisches Nationalmuseum,2013,201307,12106,10887,"-12,99","11,2",8555
Besucher/innen,Bayerisches Nationalmuseum,2013,201306,13913,6271,"-31,46","121,86",8454
Besucher/innen,Bayerisches Nationalmuseum,2013,201305,20300,7858,"101,11","158,34",7817
Besucher/innen,Bayerisches Nationalmuseum,2013,201304,10094,5953,"108,77","69,56",6780
Besucher/innen,Bayerisches Nationalmuseum,2013,201303,4835,5537,"10,51","-12,68",6435
Besucher/innen,Bayerisches Nationalmuseum,2013,201302,4375,5555,"-24,48","-21,24",6494
Besucher/innen,Bayerisches Nationalmuseum,2013,201301,5793,7053,"-43,75","-17,86",6592
Besucher/innen,Bayerisches Nationalmuseum,2012,201212,10298,11781,"98,96","-12,59",6697
Besucher/innen,Bayerisches Nationalmuseum,2012,201211,5176,4960,"-23,64","4,35",6820
Besucher/innen,Bayerisches Nationalmuseum,2012,201210,6778,8028,"40,65","-15,57",6802
Besucher/innen,Bayerisches Nationalmuseum,2012,201209,4819,2819,"15,37","70,95",6907
Besucher/innen,Bayerisches Nationalmuseum,2012,201208,4177,3834,"-61,63","8,95",6740
Besucher/innen,Bayerisches Nationalmuseum,2012,201207,10887,5944,"73,61","83,16",6711
Besucher/innen,Bayerisches Nationalmuseum,2012,201206,6271,5405,"-20,2","16,02",6299
Besucher/innen,Bayerisches Nationalmuseum,2012,201205,7858,4704,32,"67,05",6227
Besucher/innen,Bayerisches Nationalmuseum,2012,201204,5953,2867,"7,51","107,64",5964
Besucher/innen,Bayerisches Nationalmuseum,2012,201203,5537,3354,"-0,32","65,09",5707
Besucher/innen,Bayerisches Nationalmuseum,2012,201202,5555,7176,"-21,24","-22,59",5525
Besucher/innen,Bayerisches Nationalmuseum,2012,201201,7053,8414,"-40,13","-16,18",5660
Besucher/innen,Bayerisches Nationalmuseum,2011,201112,11781,18133,"137,52","-35,03",5774
