ZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Gäste,Ausland,2017,201707,368990,324260,"29,29","13,79",271022
Gäste,Ausland,2017,201706,285402,282846,"-1,48","0,9",267295
Gäste,Ausland,2017,201705,289700,255870,"8,32","13,22",267082
Gäste,Ausland,2017,201704,267442,262724,"19,15","1,8",264263
Gäste,Ausland,2017,201703,224460,227063,"3,11","-1,15",263869
Gäste,Ausland,2017,201702,217699,188895,"10,03","15,25",264086
Gäste,Ausland,2017,201701,197853,194757,"-24,46","1,59",261686
Gäste,Ausland,2016,201612,261911,260992,"16,99","0,35",261428
Gäste,Ausland,2016,201611,223882,220379,"-18,61","1,59",261351
Gäste,Ausland,2016,201610,275065,292641,"-19,29","-6,01",261060
Gäste,Ausland,2016,201609,340805,344722,"13,96","-1,14",262524
Gäste,Ausland,2016,201608,299058,357987,"-7,77","-16,46",262851
Gäste,Ausland,2016,201607,324260,343738,"14,64","-5,67",267761
Gäste,Ausland,2016,201606,282846,276326,"10,54","2,36",269385
Gäste,Ausland,2016,201605,255870,272014,"-2,61","-5,93",268841
Gäste,Ausland,2016,201604,262724,233687,"15,71","12,43",270187
Gäste,Ausland,2016,201603,227063,218027,"20,21","4,14",267767
Gäste,Ausland,2016,201602,188895,197060,"-3,01","-4,14",267014
Gäste,Ausland,2016,201601,194757,190432,"-25,38","2,27",267694
Gäste,Ausland,2015,201512,260992,258922,"18,43","0,8",267334
Gäste,Ausland,2015,201511,220379,216499,"-24,69","1,79",267161
Gäste,Ausland,2015,201510,292641,272239,"-15,11","7,49",266838
Gäste,Ausland,2015,201509,344722,307995,"-3,71","11,92",265138
Gäste,Ausland,2015,201508,357987,320942,"4,15","11,54",262077
Gäste,Ausland,2015,201507,343738,305983,"24,4","12,34",258990
Gäste,Ausland,2015,201506,276326,257506,"1,59","7,31",255844
Gäste,Ausland,2015,201505,272014,271641,"16,4","0,14",254276
Gäste,Ausland,2015,201504,233687,231983,"7,18","0,73",254244
Gäste,Ausland,2015,201503,218027,205127,"10,64","6,29",254102
Gäste,Ausland,2015,201502,197060,168186,"3,48","17,17",253027
Gäste,Ausland,2015,201501,190432,191581,"-26,45","-0,6",250621
Gäste,Ausland,2014,201412,258922,236441,"19,6","9,51",250717
Gäste,Ausland,2014,201411,216499,199988,"-20,47","8,26",248844
Gäste,Ausland,2014,201410,272239,263417,"-11,61","3,35",247468
Gäste,Ausland,2014,201409,307995,302616,"-4,03","1,78",246733
Gäste,Ausland,2014,201408,320942,297364,"4,89","7,93",246284
Gäste,Ausland,2014,201407,305983,287510,"18,83","6,43",244319
Gäste,Ausland,2014,201406,257506,254978,"-5,2","0,99",242780
Gäste,Ausland,2014,201405,271641,238117,"17,1","14,08",242569
Gäste,Ausland,2014,201404,231983,230863,"13,09","0,49",239776
Gäste,Ausland,2014,201403,205127,199629,"21,96","2,75",239682
Gäste,Ausland,2014,201402,168186,177280,"-12,21","-5,13",239224
Gäste,Ausland,2014,201401,191581,172136,"-18,97","11,3",239982
Gäste,Ausland,2013,201312,236441,222542,"18,23","6,25",238362
Gäste,Ausland,2013,201311,199988,198493,"-24,08","0,75",237203
Gäste,Ausland,2013,201310,263417,268228,"-12,95","-1,79",237079
Gäste,Ausland,2013,201309,302616,293493,"1,77","3,11",237480
Gäste,Ausland,2013,201308,297364,274448,"3,43","8,35",236719
Gäste,Ausland,2013,201307,287510,292193,"12,76","-1,6",234810
Gäste,Ausland,2013,201306,254978,246573,"7,08","3,41",235200
Gäste,Ausland,2013,201305,238117,239861,"3,14","-0,73",234500
Gäste,Ausland,2013,201304,230863,208614,"15,65","10,67",234645
Gäste,Ausland,2013,201303,199629,188249,"12,61","6,05",232791
Gäste,Ausland,2013,201302,177280,149208,"2,99","18,81",231843
Gäste,Ausland,2013,201301,172136,166562,"-22,65","3,35",229503
Gäste,Ausland,2012,201212,222542,216126,"12,12","2,97",229039
Gäste,Ausland,2012,201211,198493,187700,-26,"5,75",228504
Gäste,Ausland,2012,201210,268228,230144,"-8,61","16,55",227605
Gäste,Ausland,2012,201209,293493,305970,"6,94","-4,08",224431
Gäste,Ausland,2012,201208,274448,244971,"-6,07","12,03",225471
Gäste,Ausland,2012,201207,292193,294822,"18,5","-0,89",223014
Gäste,Ausland,2012,201206,246573,222244,"2,8","10,95",223233
Gäste,Ausland,2012,201205,239861,205111,"14,98","16,94",221206
Gäste,Ausland,2012,201204,208614,187604,"10,82","11,2",218310
Gäste,Ausland,2012,201203,188249,163129,"26,17","15,4",216559
Gäste,Ausland,2012,201202,149208,157510,"-10,42","-5,27",214466
Gäste,Ausland,2012,201201,166562,150441,"-22,93","10,72",215158
Gäste,Ausland,2011,201112,216126,201224,"15,14","7,41",213814
Gäste,Ausland,2011,201111,187700,171643,"-18,44","9,35",212573
Gäste,Ausland,2011,201110,230144,225569,"-24,78","2,03",211234
Gäste,Ausland,2011,201109,305970,304246,"24,9","0,57",210853
Gäste,Ausland,2011,201108,244971,249572,"-16,91","-1,84",210710
Gäste,Ausland,2011,201107,294822,291066,"32,66","1,29",211093
Gäste,Ausland,2011,201106,222244,222317,"8,35","-0,03",210780
Gäste,Ausland,2011,201105,205111,190892,"9,33","7,45",210786
Gäste,Ausland,2011,201104,187604,189195,15,"-0,84",209601
Gäste,Ausland,2011,201103,163129,164568,"3,57","-0,87",209734
Gäste,Ausland,2011,201102,157510,153054,"4,7","2,91",209854
Gäste,Ausland,2011,201101,150441,118736,"-25,24","26,7",209482
Gäste,Ausland,2010,201012,201224,186300,"17,23","8,01",206840
Gäste,Ausland,2010,201011,171643,151953,"-23,91","12,96",205597
Gäste,Ausland,2010,201010,225569,204173,"-25,86","10,48",203956
Gäste,Ausland,2010,201009,304246,245801,"21,91","23,78",202173
Gäste,Ausland,2010,201008,249572,215795,"-14,26","15,65",197302
Gäste,Ausland,2010,201007,291066,231342,"30,92","25,82",194488
Gäste,Ausland,2010,201006,222317,175192,"16,46","26,9",189511
Gäste,Ausland,2010,201005,190892,184501,"0,9","3,46",185583
Gäste,Ausland,2010,201004,189195,148224,"14,96","27,64",185051
Gäste,Ausland,2010,201003,164568,131439,"7,52","25,2",181637
Gäste,Ausland,2010,201002,153054,111805,"28,9","36,89",178876
Gäste,Ausland,2010,201001,118736,118411,"-36,27","0,27",175438
Gäste,Ausland,2009,200912,186300,157242,"22,6","18,48",175411
Gäste,Ausland,2009,200911,151953,133030,"-25,58","14,22",172990
Gäste,Ausland,2009,200910,204173,195765,"-16,94","4,29",171413
Gäste,Ausland,2009,200909,245801,217192,"13,9","13,17",170712
Gäste,Ausland,2009,200908,215795,223055,"-6,72","-3,25",168328
Gäste,Ausland,2009,200907,231342,223642,"32,05","3,44",168933
Gäste,Ausland,2009,200906,175192,195010,"-5,05","-10,16",168292
Gäste,Ausland,2009,200905,184501,175397,"24,47","5,19",169943
Gäste,Ausland,2009,200904,148224,164989,"12,77","-10,16",169184
Gäste,Ausland,2009,200903,131439,147580,"17,56","-10,94",170581
Gäste,Ausland,2009,200902,111805,130896,"-5,58","-14,58",171927
Gäste,Ausland,2009,200901,118411,129379,"-24,7","-8,48",173517
Gäste,Ausland,2008,200812,157242,170245,"18,2","-7,64",174431
Gäste,Ausland,2008,200811,133030,150468,"-32,05","-11,59",175515
Gäste,Ausland,2008,200810,195765,201168,"-9,87","-2,69",176968
Gäste,Ausland,2008,200809,217192,224852,"-2,63","-3,41",177418
Gäste,Ausland,2008,200808,223055,222335,"-0,26","0,32",178057
Gäste,Ausland,2008,200807,223642,220585,"14,68","1,39",177997
Gäste,Ausland,2008,200806,195010,183839,"11,18","6,08",177742
Gäste,Ausland,2008,200805,175397,165728,"6,31","5,83",176811
Gäste,Ausland,2008,200804,164989,170719,"11,8","-3,36",176005
Gäste,Ausland,2008,200803,147580,149562,"12,75","-1,33",176483
Gäste,Ausland,2008,200802,130896,125029,"1,17","4,69",176648
Gäste,Ausland,2008,200801,129379,113394,-24,"14,1",176159
Gäste,Ausland,2007,200712,170245,162121,"13,14","5,01",174827
Gäste,Ausland,2007,200711,150468,140541,"-25,2","7,06",174150
Gäste,Ausland,2007,200710,201168,171830,"-10,53","17,07",173323
Gäste,Ausland,2007,200709,224852,225853,"1,13","-0,44",170878
Gäste,Ausland,2007,200708,222335,198945,"0,79","11,76",170961
Gäste,Ausland,2007,200707,220585,215313,"19,99","2,45",169012
Gäste,Ausland,2007,200706,183839,183239,"10,93","0,33",168573
Gäste,Ausland,2007,200705,165728,160295,"-2,92","3,39",168523
Gäste,Ausland,2007,200704,170719,135093,"14,15","26,37",168070
Gäste,Ausland,2007,200703,149562,130423,"19,62","14,67",165101
Gäste,Ausland,2007,200702,125029,98880,"10,26","26,45",163506
Gäste,Ausland,2007,200701,113394,103867,"-30,06","9,17",161327
Gäste,Ausland,2006,200612,162121,,"15,35",,160533
Gäste,Ausland,2006,200611,140541,,"-18,21",,160389
Gäste,Ausland,2006,200610,171830,,"-23,92",,162374
Gäste,Ausland,2006,200609,225853,,"13,53",,161323
Gäste,Ausland,2006,200608,198945,,"-7,6",,153257
Gäste,Ausland,2006,200607,215313,,"17,5",,146730
Gäste,Ausland,2006,200606,183239,,"14,31",,135300
Gäste,Ausland,2006,200605,160295,,"18,66",,125712
Gäste,Ausland,2006,200604,135093,,"3,58",,117066
Gäste,Ausland,2006,200603,130423,,"31,9",,111057
Gäste,Ausland,2006,200602,98880,,"-4,8",,101374
Gäste,Ausland,2006,200601,103867,,,,103867
Gäste,Inland,2017,201707,404198,373705,"12,54","8,16",335736
Gäste,Inland,2017,201706,359175,344920,"-1,6","4,13",333195
Gäste,Inland,2017,201705,365027,333190,"11,82","9,56",332007
Gäste,Inland,2017,201704,326428,340744,"-2,01","-4,2",329354
Gäste,Inland,2017,201703,333125,330011,"17,03","0,94",330547
Gäste,Inland,2017,201702,284646,270093,"1,63","5,39",330287
Gäste,Inland,2017,201701,280092,239061,"-10,64","17,16",329075
Gäste,Inland,2016,201612,313430,293982,"-4,24","6,62",325655
Gäste,Inland,2016,201611,327316,319523,"-16,24","2,44",324035
Gäste,Inland,2016,201610,390787,368299,"15,82","6,11",323385
Gäste,Inland,2016,201609,337415,309166,"9,84","9,14",321511
Gäste,Inland,2016,201608,307192,325912,"-17,8","-5,74",319157
Gäste,Inland,2016,201607,373705,361398,"8,35","3,41",320717
Gäste,Inland,2016,201606,344920,327748,"3,52","5,24",319692
Gäste,Inland,2016,201605,333190,326944,"-2,22","1,91",318261
Gäste,Inland,2016,201604,340744,296770,"3,25","14,82",317740
Gäste,Inland,2016,201603,330011,310852,"22,18","6,16",314076
Gäste,Inland,2016,201602,270093,254687,"12,98","6,05",312479
Gäste,Inland,2016,201601,239061,248698,"-18,68","-3,87",311195
Gäste,Inland,2015,201512,293982,294861,"-7,99","-0,3",311998
Gäste,Inland,2015,201511,319523,298020,"-13,24","7,22",312072
Gäste,Inland,2015,201510,368299,364443,"19,13","1,06",310280
Gäste,Inland,2015,201509,309166,314048,"-5,14","-1,55",309958
