STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_N,MO_TT,MO_TX,MO_TN,MO_FK,MX_TX,MX_FX,MX_TN,MO_SD_S,QN_6,MO_RR,MX_RS,eor
1262,20000101,20000131,10,5.91,-1.6,1.5,-5.1,2.47,10.2,23.0,-21.8,69.9,9,41.2,11.8,eor
1262,20000201,20000229,10,5.78,3.8,7.9,0.1,2.63,18.7,21.0,-6.8,93.0,9,57.1,6.3,eor
1262,20000301,20000331,10,6.24,5.4,9.6,1.6,3.03,16.6,24.0,-4.6,112.0,9,91.5,25.3,eor
1262,20000401,20000430,10,5.12,10.2,15.9,4.3,2.13,24.9,17.0,-3.2,183.8,9,57.5,28.7,eor
1262,20000501,20000531,10,4.88,15.2,20.8,9.1,1.97,27.3,23.0,2.3,243.4,9,101.6,29.4,eor
1262,20000601,20000630,10,3.83,18.2,23.9,11.1,2.12,31.1,18.0,3.4,304.8,9,82.7,30.9,eor
1262,20000701,20000731,10,5.62,16.4,21.3,12.0,2.43,28.2,28.0,7.1,189.0,9,147.7,27.4,eor
1262,20000801,20000831,10,3.83,18.8,24.5,13.0,1.77,31.3,21.0,7.5,250.1,9,61.9,13.2,eor
1262,20000901,20000930,10,5.05,13.7,19.1,9.4,1.92,24.8,15.0,4.9,150.4,9,90.6,41.7,eor
1262,20001001,20001031,10,7.06,10.1,13.7,7.2,1.86,24.2,16.0,2.4,53.3,9,87.0,26.1,eor
1262,20001101,20001130,10,5.81,4.8,8.9,1.0,1.85,15.4,17.0,-5.2,92.7,9,38.6,10.6,eor
1262,20001201,20001231,10,6.75,2.0,4.9,-0.7,2.23,16.2,20.0,-10.6,60.0,9,35.6,11.9,eor
1262,20010101,20010131,10,5.40,-1.3,2.0,-4.4,1.93,9.1,18.0,-14.3,93.9,9,53.9,21.9,eor
1262,20010201,20010228,10,5.74,2.3,6.1,-1.1,2.59,14.5,21.0,-7.5,96.8,9,36.0,8.5,eor
1262,20010301,20010331,10,6.54,6.3,10.3,2.7,2.61,16.9,25.0,-3.7,94.3,9,137.2,18.6,eor
1262,20010401,20010430,10,6.16,7.3,12.0,2.8,2.57,24.4,26.3,-2.6,145.3,9,52.0,10.2,eor
1262,20010501,20010531,10,4.52,15.6,21.1,9.3,2.35,27.5,18.9,3.7,276.7,9,48.2,12.6,eor
1262,20010601,20010630,10,4.77,14.9,19.9,9.5,2.43,29.2,20.2,4.4,242.0,9,107.2,30.2,eor
1262,20010701,20010731,10,4.06,18.3,24.1,12.0,2.10,31.5,28.0,7.2,266.9,9,40.9,16.0,eor
1262,20010801,20010831,10,3.97,19.0,24.8,13.3,2.03,31.6,21.2,7.0,246.1,9,107.9,24.5,eor
1262,20010901,20010930,10,6.49,11.6,15.3,7.7,2.57,22.6,22.7,0.4,75.1,9,120.9,21.4,eor
1262,20011001,20011031,10,4.96,12.4,18.0,7.2,1.90,26.2,17.5,1.5,154.9,9,37.4,10.5,eor
1262,20011101,20011130,10,6.09,2.4,5.3,-0.4,2.50,12.5,25.0,-6.2,60.2,9,76.3,14.5,eor
1262,20011201,20011231,10,6.00,-1.4,1.4,-4.8,3.13,10.1,23.6,-22.3,80.2,9,53.8,18.2,eor
1262,20020101,20020131,10,5.78,-0.8,2.7,-4.5,2.42,15.1,27.6,-16.8,88.1,9,10.7,2.4,eor
1262,20020201,20020228,10,5.89,5.2,9.3,0.9,3.68,14.9,33.9,-5.3,85.0,9,47.6,10.1,eor
1262,20020301,20020331,10,4.59,5.6,11.2,0.0,2.39,18.2,21.9,-4.5,202.0,9,93.5,32.9,eor
1262,20020401,20020430,10,4.65,8.4,13.5,3.2,2.57,20.6,22.8,-4.4,-999,9,15.6,8.0,eor
1262,20020501,20020531,10,5.47,14.1,19.5,8.8,2.23,28.0,16.0,5.1,209.1,9,88.9,41.9,eor
1262,20020601,20020630,10,4.15,19.0,24.7,12.9,2.23,32.7,17.8,6.1,284.0,9,65.3,20.1,eor
1262,20020701,20020731,10,5.02,18.3,23.6,13.2,2.32,30.9,21.7,7.4,229.9,9,93.5,18.7,eor
1262,20020801,20020831,10,4.68,18.3,23.2,13.5,2.06,28.0,18.0,10.5,-999,9,141.0,47.7,eor
1262,20020901,20020930,10,4.64,12.1,17.2,7.0,2.10,26.9,12.0,-1.2,178.7,9,89.2,24.9,eor
1262,20021001,20021031,10,5.99,8.9,13.1,4.9,2.52,20.5,30.3,-2.0,96.0,9,99.4,13.1,eor
1262,20021101,20021130,10,6.59,6.0,9.1,3.1,2.30,14.3,20.5,-2.4,40.3,9,106.6,17.2,eor
1262,20021201,20021231,10,6.38,1.4,3.7,-1.2,2.55,12.8,21.3,-8.9,40.6,9,84.5,21.8,eor
1262,20030101,20030131,10,6.14,-1.4,1.7,-4.7,2.58,13.7,30.4,-19.2,65.1,9,47.4,10.3,eor
1262,20030201,20030228,10,4.22,-4.4,0.9,-10.1,2.07,11.4,15.8,-17.9,138.4,9,20.9,10.3,eor
